text,label
 পকি তোদের মা আর রেন্ডিয়া তোদের বাপ লগে নাকি অন্যের চরকায় তেল না দিয়ে নিজের চরকায় তেল দে নিজের দেশ নিয়ে মাথা ঘামা। ,0
 বাংলাদেশের টেষ্ট ইতিহাসের সবচেয়ে সেরা জয়। বাংলাদেশের ক্রিকেটের যে কতটা উন্নতি হয়েছে এই জয়টা দেখলেই বোঝা যায় ,1
 পুলিশ বিজিবি ছাড়া মাঠে নামেন আওয়ামী লীগের সমর্থক দের খুজে পাওয়া যাবে না বি এন পির বিরুদ্ধে এদের অত্যাচার বন্ধ করুন দেখবেন বি এন পি মাঠে আসে কি না ,0
 সৌম্য কে আরো কিছু সুযোগ দেওয়া দরকার । ,1
 বশ আপনি এগিয়ে যান আপনার সাথে আমরা ষোল কোটি ,1
 নিউজ গুলা পড়ার পর চোখের পানি ধরে রাখারমত কোন শক্তি নেই। যদি সরকার অনুমতি দেয় তবে বাংলাদেশের বহু মানুষ আছে ঝারা রোহিঙ্গাদের নিজ বাড়িতে আশ্রয় দিবে। আমার বিশ্বাস রোহিঙ্গাদের একজনকেও ওই কেম্পে থাকতে হবেনা। এমনকি সরকারের কনো সাহাজ্জ ও লাগবেনা। আল্লাহ্ তাদের হেফাজত করুন। আমিন ,0
 ধন্যবাদ প্রতিবাদের জন্য রোহিঙ্গাদের সাহায্যও করুন। ,1
 তাহলে তেরা কিয়া হোগারে কালিয়া। ,0
 রোজ সকালে তারা বলে বন্দে মাতারাম। নিজ মা মামী আর বোন চুদে পায় নাকি আরাম । ,0
 সে রকম নয় কথাটা এরকম। লাখো সন্ত্রাসী আমার সেনাবাহিনী। ,0
